window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
22,1m,278,2025-03-05,2026-03-27,0.9958,0.9771,0.9994,0.0032,5e-4,0.0205,0.9993,1,2,1,3,0.993,1,1.0275,1.442,1.5318,0.118,0.8029
44,2m,256,2025-04-04,2026-03-27,0.996,0.9906,0.9986,0.0031,0.0011,0.0074,0.9992,1,1,1,2,1,1,0.8395,1.3822,1.4449,0.0556,0.3393
66,3m,234,2025-05-06,2026-03-27,0.9955,0.991,0.9984,0.0037,0.0011,0.0076,0.9989,1,1,1,2,1,1,0.7724,1.1215,1.2809,0.0298,0.1819
88,4m,212,2025-06-05,2026-03-27,0.9949,0.9907,0.9986,0.0035,0.001,0.0078,0.9988,1,1,1,2,1,1,0.5848,1.1671,1.3541,0.0224,0.1291
110,5m,190,2025-07-07,2026-03-27,0.9943,0.9909,0.9986,0.0037,0.001,0.0073,0.9986,1,1,1,1,1,1,0.43,1.1009,1.3458,0.0169,0.1607
132,6m,168,2025-08-06,2026-03-27,0.9937,0.9906,0.9981,0.0041,0.0014,0.0075,0.9982,1,1,1,1,1,1,0.3014,0.8669,0.881,0.012,0.0635
