h,K0,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
1,7,0.5426,0.7089,0.8869,0,1.0121,1.8207
5,6,0.583,0.7193,0.9113,0,1.0243,2.0391
10,7,0.5426,0.7089,0.8869,0,1.0168,1.9405
