W,Score,Gap_vs_PM
88,0.7136558059680307,0.31567510862842707
66,0.7143980311417116,0.32061073790662004
198,0.7183758680952861,0.2342044190961678
44,0.7237716444253045,0.31956788889593535
110,0.7329719967757945,0.3107743810456796
132,0.7627638820393594,0.2975442687173894
154,0.7885339901316027,0.2849895113451171
176,0.8433479683436077,0.282741004368417
