h,Modelo,TRAIN_SIZE,N,TA,IC_low,IC_high
1,PA,88,201,0.01,0,0.024
1,VAR1,88,201,0,0,0
1,ARHinc,88,201,0.015,0,0.032
1,KernelARH,88,201,0.02,0.001,0.039
5,PA,88,201,0.055,0.023,0.086
5,VAR1,88,201,0,0,0
5,ARHinc,88,201,0.08,0.042,0.117
5,KernelARH,88,201,0.08,0.042,0.117
10,PA,88,201,0.124,0.079,0.17
10,VAR1,88,201,0,0,0
10,ARHinc,88,201,0.154,0.104,0.204
10,KernelARH,88,201,0.174,0.122,0.227
