h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,7,1,1,0.0488,0.1993,0.8507
5,6,1,0.9999,0.0666,0.272,1.0606
10,7,1,1,0.0488,0.1993,0.8507
