h,K0,r_spec_med,r_spec_max,ratio_norm_med,ratio_norm_p95
1,7,0.9517513508028063,1.1201923645635659,22.62373029423198,73.32473062537007
5,6,0.9549294341713943,1.120097040521533,28.26984702605207,76.49720493949155
10,7,0.9517513508028063,1.1201923645635659,33.59344450884404,106.68822503126906
