scenario,h,PM_RMSE_med,PA_RMSE_med,best_dynamic,best_dynamic_RMSE_med,PM_win_share
regime_change,1,0.2929690712336912,0.2541175883418924,KernelARH,0.25133717953747053,0.001
regime_change,5,0.32519794245837824,0.2574545579094457,KernelARH,0.2529341175489943,0
regime_change,10,0.3350108073595848,0.25897855491881555,VAR1,0.25441625111561667,0
strong_persistence,1,0.10426332771567443,0.17319979594646873,ARHinc,0.17234201904302981,1
strong_persistence,5,0.14635977659286276,0.18073466787755132,ARHinc,0.17963308742601747,0.975
strong_persistence,10,0.17311570197859943,0.18825122476847414,ARHinc,0.18731192422999773,0.742
weak_persistence,1,0.3211618729920739,0.25416049455190737,KernelARH,0.2498992103248041,0
weak_persistence,5,0.341128374160616,0.25556001884384394,VAR1,0.25011820166499577,0
weak_persistence,10,0.34129015636384574,0.2554047630321944,KernelARH,0.250057671078592,0
