scenario,h,model,N,RMSE_mean,RMSE_med,MAE_mean,MAE_med,ISE_mean,ISE_med
regime_change,1,ARHinc,4500,0.27211563195565897,0.25419015947722196,0.21814595714747778,0.202793847315568,0.07901656049539892,0.06461264126333369
regime_change,1,KernelARH,4500,0.2715120603418018,0.2541367936246848,0.21778511758486532,0.20273738101684488,0.07882052119385141,0.06458550996399116
regime_change,1,PA,4500,0.2740965338414408,0.25603421694272355,0.21968558327129345,0.20429737816805615,0.08013314228107926,0.06555352048219797
regime_change,1,PM,4500,0.3107263503403253,0.2944374197845966,0.2490036103384872,0.23507357404584842,0.10093169030904524,0.08669339419226788
regime_change,1,VAR1,4500,0.2719674513203013,0.25432774008177034,0.2180983265356522,0.20306466356763292,0.07906750091200297,0.06468259940490065
regime_change,5,ARHinc,4500,0.2749982341249747,0.25810159480137196,0.2203811305573572,0.20505414765024682,0.0808508258376791,0.06661643467997333
regime_change,5,KernelARH,4500,0.2729189216784281,0.25447909874168906,0.21883317034894753,0.2036500395879458,0.0797440084445296,0.06475961195488097
regime_change,5,PA,4500,0.2772814809537388,0.2589471747577763,0.22211365018408022,0.20671725794327322,0.08218075343765845,0.0670536394809807
regime_change,5,PM,4500,0.35291697531499056,0.33032330732621257,0.28205301742483563,0.2619415842267042,0.13266899710680444,0.10911348911926333
regime_change,5,VAR1,4500,0.2729177342755934,0.2544503685061647,0.2188340762642205,0.2035583030314989,0.0797448428455496,0.06474499035673228
regime_change,10,ARHinc,4500,0.2762260891550508,0.2581784252264374,0.22141376394211756,0.20599337305804388,0.08165891630433526,0.06665609945979402
regime_change,10,KernelARH,4500,0.27357810883575806,0.2557734446723423,0.21932244192980552,0.20349433468695616,0.0801971617481603,0.06542005515263943
regime_change,10,PA,4500,0.27863651194604877,0.2610750727858252,0.22328572492195808,0.20831340395214032,0.08308040828905128,0.06816019378573931
regime_change,10,PM,4500,0.3632128330792003,0.34010203121682303,0.2901283227142776,0.2696154759527885,0.14087258035056033,0.11566939238289672
regime_change,10,VAR1,4500,0.27357822150589944,0.25553333234301623,0.21932371842866166,0.20345142906176433,0.08019881635846293,0.06529728416989977
strong_persistence,1,ARHinc,4500,0.19030992269098163,0.17673822002601447,0.15315420934277,0.14038499592622458,0.041381076679012425,0.03123640071085384
strong_persistence,1,KernelARH,4500,0.19484834410729085,0.18104388187287895,0.15679679362955518,0.1439379184988383,0.043690350970509766,0.03277689169435144
strong_persistence,1,PA,4500,0.19151633755664843,0.17670703357702444,0.1542051527481944,0.1411080014794528,0.04196579335288154,0.03122537571560391
strong_persistence,1,PM,4500,0.10711068866723691,0.10425836056726806,0.08339978684511835,0.08125584758737972,0.011807850462122642,0.010869805750489177
strong_persistence,1,VAR1,4500,0.19522868467921248,0.18059374250307847,0.15711234302401828,0.1442310094437286,0.043896387854285734,0.03261409984232275
strong_persistence,5,ARHinc,4500,0.19835608790543083,0.18346558501641372,0.15979429251637028,0.1461929191341509,0.04523280732665231,0.03365962122514163
strong_persistence,5,KernelARH,4500,0.2021612120085253,0.1867229671227736,0.1628782089666153,0.14895270114607145,0.047325490056442564,0.03486546688734629
strong_persistence,5,PA,4500,0.1997269526981234,0.185322710144846,0.16091431603132902,0.14768093135464133,0.04590046819155426,0.03434450695246874
strong_persistence,5,PM,4500,0.15318262944958852,0.14664150526887593,0.11683742391120819,0.1109350845430217,0.025396104344600413,0.021503731319721803
strong_persistence,5,VAR1,4500,0.20213931847449654,0.18649045112682494,0.16286196478710455,0.1489490780650744,0.04731666594199278,0.034778693226350396
strong_persistence,10,ARHinc,4500,0.205346661495806,0.18947039476163502,0.165485122378606,0.15160431584264458,0.04867180800245704,0.03589903174188518
strong_persistence,10,KernelARH,4500,0.20796593601633287,0.19213209631787898,0.1676931916246187,0.15329863959907775,0.050222508061898805,0.036914742532734815
strong_persistence,10,PA,4500,0.20665333148174284,0.19124266189034994,0.16655528601772618,0.1520702396184726,0.04931691369916098,0.03657375573112742
strong_persistence,10,PM,4500,0.1827094026781571,0.1735800238432674,0.14034236264724892,0.13147219779824904,0.03702632570549403,0.030130024813958177
strong_persistence,10,VAR1,4500,0.2079510544152742,0.1919122599709251,0.16768256477774332,0.15349593612062884,0.05021513005482059,0.03683031552725378
weak_persistence,1,ARHinc,4500,0.26786665721819547,0.25302173366482206,0.21456682602097857,0.2013132191907948,0.07592937865991234,0.06401999823920557
weak_persistence,1,KernelARH,4500,0.26581371673416104,0.25165194323685214,0.21302475533122261,0.200094402521923,0.07483610188172374,0.06332870054850305
weak_persistence,1,PA,4500,0.26966248693486145,0.25485232716679385,0.21595122112746032,0.20270089897108623,0.07690502363635246,0.06494971353630452
weak_persistence,1,PM,4500,0.33663518598438286,0.32142994645245926,0.2682134863244127,0.25475409586520514,0.11834650537844899,0.10331721068526514
weak_persistence,1,VAR1,4500,0.2663479473580669,0.2519699734855939,0.21345393650612077,0.2004836118212161,0.07515042486255767,0.06348886759792771
weak_persistence,5,ARHinc,4500,0.2697166773792264,0.2550697184249209,0.21614485202493178,0.20272506371643192,0.07716709971690015,0.0650605612979575
weak_persistence,5,KernelARH,4500,0.2667772252435917,0.2513282497040484,0.21391806917289993,0.20045682403092885,0.07551728068826401,0.06316588912202681
weak_persistence,5,PA,4500,0.27203305937685246,0.25641094902531797,0.2179274437839692,0.20408241542489391,0.07851638848520377,0.06574657478659643
weak_persistence,5,PM,4500,0.3620467810220797,0.3401697472239158,0.2892521110079317,0.2702307860418044,0.13943064561198482,0.11571545692686463
weak_persistence,5,VAR1,4500,0.2667796731154076,0.2515787021739071,0.2139211064238257,0.2005379654645063,0.07551919086985746,0.06329184342261429
weak_persistence,10,ARHinc,4500,0.2702013285969243,0.25568328847199606,0.21647911887317886,0.20318274314944296,0.07743129240534907,0.06537394552806636
weak_persistence,10,KernelARH,4500,0.26651537291083416,0.25211249584002104,0.213601102686596,0.2008991204994725,0.07529558645095884,0.06356071055891868
weak_persistence,10,PA,4500,0.27276038771418043,0.2581198325341968,0.21843705076344588,0.20521570607908302,0.07890501347587428,0.06662584861838629
weak_persistence,10,PM,4500,0.3658359707305411,0.344974823092596,0.292428118126153,0.27336162839067957,0.14253430421541735,0.11900762866297898
weak_persistence,10,VAR1,4500,0.26650593273541884,0.2520961485595892,0.213595894890618,0.2006683000926663,0.07528881101111597,0.06355246811858517
