h,K0,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
1,4,0.3366,0.5286,0.7692,0,1.0055,1.6158
5,4,0.3366,0.5286,0.7692,0,1.0068,1.4038
10,4,0.3366,0.5286,0.7692,0,1.0068,1.4023
