h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,4,0.9992,0.9963,0.0995,0.4516,1.4016
5,4,0.9992,0.9963,0.0995,0.4516,1.4016
10,4,0.9992,0.9963,0.0995,0.4516,1.4016
