h,Modelo,TRAIN_SIZE,N,TA,IC_low,IC_high
1,PA,44,245,0,0,0
1,VAR1,44,245,0,0,0
1,ARHinc,44,245,0,0,0
1,KernelARH,44,245,0,0,0
5,PA,44,245,0,0,0
5,VAR1,44,245,0,0,0
5,ARHinc,44,245,0,0,0
5,KernelARH,44,245,0.008,0,0.019
10,PA,44,245,0,0,0
10,VAR1,44,245,0,0,0
10,ARHinc,44,245,0,0,0
10,KernelARH,44,245,0.004,0,0.012
