window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
22,1m,278,2025-03-05,2026-03-27,0.9288,0.6693,0.9776,0.0692,0.0215,0.3241,0.9973,2,2,2,4,0.356,1,1.3216,1.417,1.4238,0.1241,0.7768
44,2m,256,2025-04-04,2026-03-27,0.9037,0.6919,0.9757,0.0878,0.0216,0.2798,0.995,2,2,2,4,0.18,1,1.2546,1.4173,1.4219,0.0708,0.3567
66,3m,234,2025-05-06,2026-03-27,0.8948,0.8109,0.9723,0.0941,0.024,0.1783,0.9918,2,2,2,4,0.179,1,1.2462,1.3999,1.4139,0.0479,0.2506
88,4m,212,2025-06-05,2026-03-27,0.909,0.811,0.9651,0.0816,0.0281,0.1758,0.9887,2,2,3,3,0.184,1,0.876,1.3192,1.3587,0.0369,0.1279
110,5m,190,2025-07-07,2026-03-27,0.9107,0.7991,0.9575,0.0849,0.0313,0.1833,0.9871,2,2,3,3,0.126,1,0.8195,1.2589,1.2843,0.0229,0.0952
132,6m,168,2025-08-06,2026-03-27,0.8966,0.7669,0.9427,0.0846,0.0431,0.2165,0.9842,2,2,3,3,0,1,0.8069,1.1604,1.1752,0.0182,0.0859
