W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,4,0.12003224726970414,PA,0.9670374155040122,0.847005168234308
44,5,4,0.3226854714137878,ARHinc,0.9998144396602135,0.6771289682464258
44,10,4,0.42226945234602936,PA,1.0393609144551936,0.6170914621091643
66,1,6,0.1241974234837423,PA,0.9747264772004801,0.8505290537167378
66,5,5,0.33111132801289295,ARHinc,1.0144768406080276,0.6833655125951346
66,10,5,0.4875357481962022,PA,1.0654210256405612,0.577885277444359
88,1,6,0.12715810116664877,PA,0.9986132687796301,0.8714551676129814
88,5,7,0.3640809689108687,PA,1.0386611653856501,0.6745801964747814
88,10,4,0.5443753919012986,PA,1.084912029560783,0.5405366376594845
110,1,8,0.13926679570025094,PA,1.0040846627324633,0.8648178670322124
110,5,4,0.3855287328412159,ARHinc,1.0720639358890662,0.6865352030478503
110,10,3,0.5663894165270448,ARHinc,1.1125309821434348,0.54614156561639
132,1,8,0.15486563655186833,PA,1.0209569707421062,0.8660913341902379
132,5,3,0.4162071761293148,PA,1.0943396694212864,0.6781324932919716
132,10,3,0.6069556757356275,ARHinc,1.1297927048455727,0.5228370291099452
154,1,8,0.16979838157242674,PA,1.0290734254300187,0.8592750438575919
154,5,3,0.4637303800535561,PA,1.1014302739706494,0.6376998939170933
154,10,3,0.6240091376303345,PA,1.135605092792765,0.5115959551624305
176,1,8,0.19355778306390928,PA,1.013943973021072,0.8203861899571627
176,5,5,0.5220530384932167,PA,1.0990681905681385,0.5770151520749218
176,10,3,0.6700929183559317,PA,1.178726758902796,0.5086338405468644
198,1,8,0.21943349264027054,PA,1.0164817515418743,0.7970482589016037
198,5,5,0.5558537266085526,PA,1.1070037157092762,0.5511499891007237
198,10,4,0.8032980694994468,ARHinc,1.208490467364106,0.4051923978646591
