K0,N,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1
5,157,0.8661,0.9285,0.9851,0
6,157,0.8715,0.9315,0.9694,0
7,157,0.8829,0.9282,0.9857,0
