h,Modelo,TRAIN_SIZE,N,TA,IC_low,IC_high
1,PA,132,157,0,0,0
1,VAR1,132,157,0,0,0
1,ARHinc,132,157,0.006,0,0.019
1,KernelARH,132,157,0.013,0,0.03
5,PA,132,157,0.006,0,0.019
5,VAR1,132,157,0.006,0,0.019
5,ARHinc,132,157,0.051,0.017,0.085
5,KernelARH,132,157,0.108,0.06,0.157
10,PA,132,157,0.038,0.008,0.068
10,VAR1,132,157,0.013,0,0.03
10,ARHinc,132,157,0.083,0.04,0.126
10,KernelARH,132,157,0.274,0.204,0.344
