window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
22,1m,278,2025-03-05,2026-03-27,0.9832,0.9422,0.9952,0.0135,0.0034,0.0476,0.9977,1,2,2,3,0.942,1,0.7739,1.3398,1.4235,0.0909,0.4299
44,2m,256,2025-04-04,2026-03-27,0.9799,0.9576,0.994,0.0161,0.0038,0.0377,0.9961,1,2,2,3,0.965,1,0.7528,1.4137,1.4202,0.0435,0.2295
66,3m,234,2025-05-06,2026-03-27,0.9777,0.9556,0.9919,0.0174,0.005,0.0378,0.9958,1,2,2,3,0.983,1,0.755,1.4162,1.4209,0.0252,0.129
88,4m,212,2025-06-05,2026-03-27,0.9786,0.96,0.9892,0.0179,0.0074,0.0294,0.9956,1,1,2,3,1,1,0.773,1.4195,1.4212,0.0203,0.112
110,5m,190,2025-07-07,2026-03-27,0.9765,0.9589,0.9849,0.0183,0.0119,0.029,0.9953,1,1,2,3,1,1,0.7808,1.0202,1.096,0.019,0.0604
132,6m,168,2025-08-06,2026-03-27,0.9751,0.9653,0.9862,0.0177,0.0111,0.0229,0.9937,1,1,2,3,1,1,0.7153,1.0687,1.0809,0.016,0.0555
