h,K0,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
1,7,0.396,0.4678,0.4797,0,1.0095,1.298
5,6,0.3575,0.4376,0.4824,0,1.0112,1.3171
10,5,0.3268,0.4115,0.4285,0,1.0143,1.3129
