h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,7,0.9999,0.9999,0.0604,0.3428,1.0799
5,6,0.9999,0.9999,0.0603,0.3115,0.8235
10,5,0.9998,0.9996,0.037,0.22,1.3467
