window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
22,1m,278,2025-03-05,2026-03-27,0.96,0.6101,0.9941,0.0297,0.0039,0.3605,0.9936,1,3,2,4,0.518,0.993,0.9996,1.4349,1.499,0.0999,0.7366
44,2m,256,2025-04-04,2026-03-27,0.9404,0.677,0.9953,0.0463,0.0035,0.2981,0.989,2,2,3,4,0.449,1,0.7857,1.4301,1.4578,0.0572,0.4483
66,3m,234,2025-05-06,2026-03-27,0.9304,0.5757,0.9955,0.0475,0.0029,0.3845,0.9833,2,3,3,3,0.47,0.983,0.8108,1.3573,1.4322,0.0387,0.3331
88,4m,212,2025-06-05,2026-03-27,0.9257,0.5334,0.9961,0.054,0.0024,0.4138,0.9792,2,3,3,4,0.467,0.934,0.8142,1.2911,1.4379,0.0291,0.18
110,5m,190,2025-07-07,2026-03-27,0.9213,0.5567,0.9967,0.0605,0.0021,0.3929,0.9819,2,3,3,4,0.474,0.795,0.8182,1.3861,1.418,0.0268,0.129
132,6m,168,2025-08-06,2026-03-27,0.9592,0.5746,0.9971,0.0316,0.0018,0.3711,0.9907,1,3,2,4,0.512,0.667,0.8169,1.2541,1.3381,0.0206,0.0753
