K0,N,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1
5,179,0.7791,0.8175,0.8564,0
7,179,0.8064,0.9441,1.0794,0.006
8,179,0.8398,0.9552,1.0634,0.011
