h,Modelo,TRAIN_SIZE,N,TA,IC_low,IC_high
1,PA,110,179,0,0,0
1,VAR1,110,179,0,0,0
1,ARHinc,110,179,0,0,0
1,KernelARH,110,179,0,0,0
5,PA,110,179,0,0,0
5,VAR1,110,179,0,0,0
5,ARHinc,110,179,0,0,0
5,KernelARH,110,179,0,0,0
10,PA,110,179,0,0,0
10,VAR1,110,179,0,0,0
10,ARHinc,110,179,0,0,0
10,KernelARH,110,179,0.006,0,0.017
