h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,8,0.9999,0.9999,0.0609,0.2996,1.2136
5,7,0.9999,0.9997,0.0595,0.2379,1.3714
10,5,0.9996,0.9991,0.0217,0.0871,1.2896
