h,K0,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
1,8,0.4001,0.4463,0.4849,0,0.9978,1.7042
5,8,0.4001,0.4463,0.4849,0,1.0047,1.5844
10,6,0.3284,0.4007,0.4562,0,0.9932,1.5072
