window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
22,1m,278,2025-03-05,2026-03-27,0.9755,0.7837,0.9982,0.0199,0.0011,0.2105,0.9957,1,3,2,3,0.773,0.989,0.6458,1.4032,1.4656,0.0843,0.555
44,2m,256,2025-04-04,2026-03-27,0.9771,0.8429,0.9946,0.0169,0.003,0.1444,0.9928,1,2,2,3,0.68,1,0.6114,1.3817,1.4178,0.05,0.3185
66,3m,234,2025-05-06,2026-03-27,0.9695,0.8792,0.9864,0.0195,0.0089,0.101,0.9899,1,2,3,3,0.769,1,0.5101,0.9669,1.0603,0.0317,0.0865
88,4m,212,2025-06-05,2026-03-27,0.9668,0.9026,0.9793,0.0207,0.0134,0.0716,0.9876,1,2,3,3,0.717,1,0.5193,0.8325,0.9397,0.022,0.0599
110,5m,190,2025-07-07,2026-03-27,0.9651,0.9054,0.9775,0.0215,0.0146,0.0682,0.9863,1,2,3,3,0.663,1,0.5054,0.7933,0.9551,0.0194,0.0554
132,6m,168,2025-08-06,2026-03-27,0.9633,0.902,0.977,0.021,0.0148,0.065,0.9849,1,2,3,3,0.685,1,0.4522,0.8288,0.9821,0.0185,0.0595
