h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,8,1,0.9999,0.0602,0.1813,0.3346
5,8,1,0.9999,0.0602,0.1813,0.3346
10,6,0.9999,0.9998,0.0516,0.2177,0.7186
