Caso,Dias,RMSE_mediana,PC1,PC2,PC3,PC1_PC2,PC1_PC3,K95,K99
current_299_raw_td_Xtd_current_basis,299,0.916379,0.740525,0.240026,0.013154,0.980551,0.993705,2,3
current_128_raw_td_Xtd_current_basis,128,0.851534,0.909705,0.0847,0.003454,0.994404,0.997858,2,2
oldstyle_128_raw_byrowTRUE_Xtd_old_basis,128,0.851584,0.910688,0.083733,0.00344,0.994422,0.997861,2,2
oldstyle_128_smooth_byrowTRUE_Xtd_old_basis,128,0.850121,0.919302,0.074378,0.003905,0.99368,0.997585,2,2
oldstyle_128_smooth_td_Xtd_current_basis,128,0.850119,0.919226,0.074429,0.003925,0.993655,0.99758,2,2
bad_128_smooth_dt_Xtd_old_basis,128,0.74699,0.906805,0.08817,0.002769,0.994975,0.997744,2,2
