moneda,h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
usdars,10,KernelARH,5,110,179,1.4554,1.3342,1.6858,-11.149,0,***
usdmxn,1,PM,7,88,201,0.147,0.0958,0.2498,NA,NA,NA
usdmxn,1,PA,7,88,201,0.6072,0.5773,0.6419,-73.982,0,***
usdmxn,1,VAR1,7,88,201,21.8129,8.9872,53.0538,-2.699,0.0075,***
usdmxn,1,ARHinc,7,88,201,0.6084,0.5799,0.6479,-22.268,0,***
usdmxn,1,KernelARH,7,88,201,0.6138,0.5856,0.6708,-8.682,0,***
usdmxn,5,PM,6,88,201,0.3419,0.2291,0.5205,NA,NA,NA
usdmxn,5,PA,6,88,201,0.6646,0.6172,0.7748,-35.543,0,***
usdmxn,5,VAR1,6,88,201,27.285,9.9946,101.2287,-2.083,0.0385,**
usdmxn,5,ARHinc,6,88,201,0.6709,0.6191,0.7924,-15.623,0,***
usdmxn,5,KernelARH,6,88,201,0.6842,0.6254,0.8208,-9.342,0,***
usdmxn,10,PM,6,88,201,0.4251,0.2533,0.6541,NA,NA,NA
usdmxn,10,PA,6,88,201,0.6899,0.6203,0.8566,-24.027,0,***
usdmxn,10,VAR1,6,88,201,23.8348,6.8947,102.435,-1.882,0.0612,*
usdmxn,10,ARHinc,6,88,201,0.7002,0.6239,0.8772,-17.577,0,***
usdmxn,10,KernelARH,6,88,201,0.7676,0.6637,0.9653,-6.755,0,***
eurusd,1,PM,8,110,179,0.1588,0.0937,0.2489,NA,NA,NA
eurusd,1,PA,8,110,179,0.4205,0.3925,0.473,-25.217,0,***
eurusd,1,VAR1,8,110,179,64.9212,22.0358,196.1781,-5.418,0,***
eurusd,1,ARHinc,8,110,179,0.4304,0.3991,0.4904,-10.249,0,***
eurusd,1,KernelARH,8,110,179,0.4426,0.4018,0.5143,-3.368,9e-4,***
eurusd,5,PM,8,110,179,0.3741,0.2735,0.5638,NA,NA,NA
eurusd,5,PA,8,110,179,0.5367,0.4479,0.6648,-10.345,0,***
eurusd,5,VAR1,8,110,179,68.9032,18.8894,191.2607,-2.943,0.0037,***
eurusd,5,ARHinc,8,110,179,0.547,0.4529,0.6861,-7.302,0,***
eurusd,5,KernelARH,8,110,179,0.596,0.4963,0.761,-2.253,0.0255,**
eurusd,10,PM,6,110,179,0.4908,0.3326,0.7239,NA,NA,NA
eurusd,10,PA,6,110,179,0.5982,0.486,0.815,-8.28,0,***
eurusd,10,VAR1,6,110,179,32.3921,10.1842,85.0468,-1.841,0.0672,*
eurusd,10,ARHinc,6,110,179,0.6033,0.49370000000000003,0.7976,-6.031,0,***
eurusd,10,KernelARH,6,110,179,0.7082,0.5648,0.9621,-1.554,0.1219,NA
usdzar,1,PM,5,66,223,0.175,0.1104,0.2852,NA,NA,NA
usdzar,1,PA,5,66,223,0.6052,0.5467,0.6663,-28.282,0,***
usdzar,1,VAR1,5,66,223,14.2564,5.6383,31.683,-1.829,0.0687,*
usdzar,1,ARHinc,5,66,223,0.6088,0.5465,0.6681,-7.637,0,***
usdzar,1,KernelARH,5,66,223,0.6193,0.5557,0.6812,-2.807,0.0055,***
usdzar,5,PM,4,66,223,0.4172,0.2906,0.6153,NA,NA,NA
usdzar,5,PA,4,66,223,0.7153,0.6123,0.8563,-6.034,0,***
usdzar,5,VAR1,4,66,223,20.6145,5.7276,41.7222,-1.414,0.1588,NA
usdzar,5,ARHinc,4,66,223,0.7071,0.6174,0.8779,-2.096,0.0372,**
usdzar,5,KernelARH,4,66,223,0.7253,0.6406,0.9023,-1.165,0.2453,NA
usdzar,10,PM,3,66,223,0.5551,0.3868,0.8219,NA,NA,NA
usdzar,10,PA,3,66,223,0.7836,0.6516,1.0095,-5.43,0,***
usdzar,10,VAR1,3,66,223,9.2332,2.6991,23.0503,-1.275,0.2036,NA
usdzar,10,ARHinc,3,66,223,0.7759,0.6443,1.0104,-2.096,0.0372,**
usdzar,10,KernelARH,3,66,223,0.8464,0.6476,1.122,-1.087,0.2783,NA
