moneda,fecha,PC,score,score_z
usdpen,2025-02-04,PC1,-0.26670461846961924,-0.050024937464393224
usdpen,2025-02-05,PC1,0.023889729426534743,0.004480920605954113
usdpen,2025-02-06,PC1,-2.4303935402469232,-0.45586119041491885
usdpen,2025-02-07,PC1,-0.47529713176237,-0.08914997209216476
usdpen,2025-02-10,PC1,-2.8338490724646546,-0.5315360620563131
usdpen,2025-02-11,PC1,-2.5046545150168678,-0.46979008538579664
usdpen,2025-02-12,PC1,-2.299260121279424,-0.43126491187657606
usdpen,2025-02-13,PC1,-1.9733105190672298,-0.37012758114427663
usdpen,2025-02-14,PC1,-1.9196674865847916,-0.36006592806630394
usdpen,2025-02-17,PC1,-9.123356616428847,-1.7112389984885061
usdpen,2025-02-18,PC1,-11.572697777683384,-2.170654133943611
usdpen,2025-02-19,PC1,-2.4116793719989587,-0.4523510333667416
usdpen,2025-02-20,PC1,-3.4710165613819526,-0.6510475424736013
usdpen,2025-02-21,PC1,-3.268548848447658,-0.6130713171790606
usdpen,2025-02-24,PC1,-2.1944808397324493,-0.411611795117563
usdpen,2025-02-25,PC1,-2.91224380370695,-0.5462403125879943
usdpen,2025-02-26,PC1,2.1853334652829113,0.40989605117046785
usdpen,2025-02-27,PC1,0.6211994528889967,0.11651640665992859
usdpen,2025-02-28,PC1,-0.2443407351894904,-0.04583021496963871
usdpen,2025-03-03,PC1,-0.30275381995889367,-0.05678657159165407
usdpen,2025-03-04,PC1,-1.0714183687141838,-0.20096253750939286
usdpen,2025-03-05,PC1,0.17391231300348403,0.03262017970370563
usdpen,2025-03-06,PC1,-2.3212810014887153,-0.4353952983756991
usdpen,2025-03-07,PC1,-2.3445480063783535,-0.43975941651983413
usdpen,2025-03-10,PC1,-0.8636074385287985,-0.16198410194051105
usdpen,2025-03-11,PC1,-1.7979882923507817,-0.3372429484073766
usdpen,2025-03-12,PC1,-2.073666126552552,-0.3889509634218741
usdpen,2025-03-13,PC1,-2.088149501062146,-0.39166756393773045
usdpen,2025-03-14,PC1,-2.1646366803245143,-0.4060140210084154
usdpen,2025-03-17,PC1,-2.6320447112189775,-0.493684259529291
usdpen,2025-03-18,PC1,-2.4505128384983905,-0.45963490323111356
usdpen,2025-03-19,PC1,-1.9547608312851126,-0.3666482751742147
usdpen,2025-03-20,PC1,-7.412428772263354,-1.3903257015925348
usdpen,2025-03-21,PC1,-6.767225592270319,-1.2693069921446674
usdpen,2025-03-24,PC1,-8.387243061243108,-1.5731685189589086
usdpen,2025-03-25,PC1,0.15033723892764148,0.028198278001629176
usdpen,2025-03-26,PC1,0.42426216567805497,0.07957750573775796
usdpen,2025-03-27,PC1,2.5863468176804796,0.48511285090639045
usdpen,2025-03-28,PC1,3.4294734693355235,0.6432554367589531
usdpen,2025-03-31,PC1,3.681499340104005,0.6905271281790201
usdpen,2025-04-01,PC1,3.797048511968304,0.7122003190286657
usdpen,2025-04-02,PC1,4.214010475036627,0.7904085489693836
usdpen,2025-04-03,PC1,3.8897437099920062,0.7295868626550688
usdpen,2025-04-04,PC1,3.894136670763006,0.7304108363421905
usdpen,2025-04-07,PC1,2.5346233864553893,0.47541125133407663
usdpen,2025-04-08,PC1,2.8775229675823946,0.5397278357294797
usdpen,2025-04-09,PC1,2.858416059202155,0.5361440136631653
usdpen,2025-04-10,PC1,1.475429356705269,0.2767415942244677
usdpen,2025-04-11,PC1,5.187598114708272,0.9730212876244063
usdpen,2025-04-14,PC1,-4.817950542418103,-0.9036876675551808
usdpen,2025-04-15,PC1,-5.587701452267913,-1.048067398770007
usdpen,2025-04-16,PC1,-6.916100250356699,-1.2972309385072702
usdpen,2025-04-17,PC1,-6.451944990223063,-1.2101708118578351
usdpen,2025-04-18,PC1,-2.9655148795344766,-0.5562321989386108
usdpen,2025-04-21,PC1,-6.25609103501933,-1.1734351080764744
usdpen,2025-04-22,PC1,-6.509346549562369,-1.2209374398704451
usdpen,2025-04-23,PC1,2.704656610129508,0.5073038425834324
usdpen,2025-04-24,PC1,0.409902158721149,0.07688404488158872
usdpen,2025-04-25,PC1,2.1681970093563208,0.4066818206070527
