Par,PC1_mediana_22d,PC1_mediana_66d,PC1_mediana_132d,PC1_p05_22d,PC1_p05_66d,PC1_p05_132d,PC1_PC2_mediana_22d,PC1_PC2_mediana_66d,PC1_PC2_mediana_132d,K95_mediana_22d,K95_mediana_66d,K95_mediana_132d,K99_mediana_22d,K99_mediana_66d,K99_mediana_132d,dist_global3_mediana_22d,dist_global3_mediana_66d,dist_global3_mediana_132d
USDPEN,0.9288,0.8948,0.8966,0.6693,0.8109,0.7669,0.9973,0.9918,0.9842,2,2,2,2,2,3,1.3216,1.2462,0.8069
USDCOP,0.9758,0.9473,0.9151,0.9026,0.8574,0.8583,0.9971,0.9934,0.9879,1,2,2,2,2,3,0.6685,0.4529,0.35
USDCLP,0.9958,0.9955,0.9937,0.9771,0.991,0.9906,0.9993,0.9989,0.9982,1,1,1,1,1,1,1.0275,0.7724,0.3014
USDBRL,0.9832,0.9777,0.9751,0.9422,0.9556,0.9653,0.9977,0.9958,0.9937,1,1,1,2,2,2,0.7739,0.755,0.7153
USDARS,0.96,0.9304,0.9592,0.6101,0.5757,0.5746,0.9936,0.9833,0.9907,1,2,1,2,3,2,0.9996,0.8108,0.8169
USDMXN,0.9754,0.962,0.9598,0.924,0.9398,0.9304,0.9982,0.9955,0.9922,1,1,1,2,2,2,0.6654,0.6119,0.4575
EURUSD,0.9755,0.9695,0.9633,0.7837,0.8792,0.902,0.9957,0.9899,0.9849,1,1,1,2,3,3,0.6458,0.5101,0.4522
USDZAR,0.9808,0.9816,0.955,0.9178,0.9429,0.9159,0.997,0.9939,0.9855,1,1,1,2,2,3,0.585,0.4228,0.3012
