Caso,Dias,RMSE_mediana,PC1,PC2,PC3,PC1_PC2,PC1_PC3,K95,K99
current_299_raw_td_Xtd_current_basis,299,0.916379,0.740525,0.240026,0.013154,0.980551,0.993705,2,3
current_128_raw_td_Xtd_current_basis,128,0.982448,0.829254,0.159937,0.007402,0.989191,0.996593,2,3
oldstyle_128_raw_byrowTRUE_Xtd_old_basis,128,0.982677,0.828046,0.160998,0.007478,0.989044,0.996522,2,3
oldstyle_128_smooth_byrowTRUE_Xtd_old_basis,128,0.95275,0.822895,0.163679,0.009272,0.986574,0.995846,2,3
oldstyle_128_smooth_td_Xtd_current_basis,128,0.952729,0.822508,0.164001,0.009334,0.986509,0.995843,2,3
bad_128_smooth_dt_Xtd_old_basis,128,0.753388,0.742472,0.255162,0.001506,0.997634,0.99914,2,2
