Caso,Dias,RMSE_mediana,PC1,PC2,PC3,PC1_PC2,PC1_PC3,K95,K99
current_299_raw_td_Xtd_current_basis,299,1.287874,0.983378,0.012148,0.002821,0.995526,0.998347,1,2
current_128_raw_td_Xtd_current_basis,128,1.298547,0.670974,0.282346,0.03973,0.95332,0.99305,2,3
oldstyle_128_raw_byrowTRUE_Xtd_old_basis,128,1.296028,0.668219,0.285234,0.039592,0.953453,0.993045,2,3
oldstyle_128_smooth_byrowTRUE_Xtd_old_basis,128,1.275017,0.650351,0.296592,0.044808,0.946943,0.991751,3,3
oldstyle_128_smooth_td_Xtd_current_basis,128,1.275239,0.650069,0.296473,0.045135,0.946543,0.991678,3,3
bad_128_smooth_dt_Xtd_old_basis,128,3.783446,0.829433,0.165472,0.003697,0.994905,0.998602,2,2
