moneda,h,TRAIN_SIZE,K0,N,selected_W,tuning_score,tuning_gap_vs_PM,PM_tuning,MejorModelo,MejorDyn,Gap_vs_PM_tuning
usdpen,1,44,4,245,44,1.002070923206473,0.7137418661966327,0.12003224726970414,PA,0.9670374155040122,0.847005168234308
usdpen,5,44,4,245,44,1.002070923206473,0.7137418661966327,0.3226854714137878,ARHinc,0.9998144396602135,0.6771289682464258
usdpen,10,44,4,245,44,1.002070923206473,0.7137418661966327,0.42226945234602936,PA,1.0393609144551936,0.6170914621091643
usdcop,1,154,7,135,154,0.6679747935759788,0.25908790869723497,0.15043127104326487,PA,0.5355822498761895,0.38515097883292465
usdcop,5,154,8,135,154,0.6679747935759788,0.25908790869723497,0.4321431943055628,PA,0.6613065345244269,0.2291633402188641
usdcop,10,154,8,135,154,0.6679747935759788,0.25908790869723497,0.6440861892874039,ARHinc,0.80703559632732,0.16294940703991612
usdclp,1,88,7,201,88,0.7136558059680307,0.31567510862842707,0.1613511161793053,PA,0.6272263814097053,0.4658752652304
usdclp,5,88,6,201,88,0.7136558059680307,0.31567510862842707,0.4087055080466768,PA,0.7015257517239525,0.2928202436772757
usdclp,10,88,7,201,88,0.7136558059680307,0.31567510862842707,0.6238854677928288,KernelARH,0.8122152847704343,0.18832981697760545
usdbrl,1,132,7,157,132,0.8258864236641704,0.3093648070819735,0.19717370806942336,PA,0.6654089502211428,0.4682352421517194
usdbrl,5,132,6,157,132,0.8258864236641704,0.3093648070819735,0.58482688102483,ARHinc,0.8287458585347321,0.2439189775099021
usdbrl,10,132,5,157,132,0.8258864236641704,0.3093648070819735,0.7675642606523374,PA,0.9835044622366363,0.21594020158429905
usdars,1,110,8,179,110,1.3504749899333914,0.9371071372572554,0.17286583281217296,PA,1.2765538763106472,1.1036880434984742
usdars,5,110,7,179,110,1.3504749899333914,0.9371071372572554,0.4414846020487622,PA,1.3541830103431447,0.9126984082943824
usdars,10,110,5,179,110,1.3504749899333914,0.9371071372572554,0.6257531231674729,PA,1.4206880831463824,0.7949349599789095
usdmxn,1,88,7,201,88,0.6538726318057528,0.34920500832335033,0.1469790343500105,PA,0.6071631102027715,0.460184075852761
usdmxn,5,88,6,201,88,0.6538726318057528,0.34920500832335033,0.3419058434265648,PA,0.6645557212410906,0.3226498778145258
usdmxn,10,88,6,201,88,0.6538726318057528,0.34920500832335033,0.4251179926706322,PA,0.6898990639733964,0.2647810713027642
eurusd,1,110,8,179,110,0.5184689432566842,0.17723868537168813,0.1588166879915816,PA,0.4205201015382974,0.2617034135467157
eurusd,5,110,8,179,110,0.5184689432566842,0.17723868537168813,0.374081310577095,PA,0.536651953948818,0.16257064337172306
eurusd,10,110,6,179,110,0.5184689432566842,0.17723868537168813,0.49079277508631186,PA,0.5982347742829375,0.1074419991966256
usdzar,1,66,5,223,66,0.6960902167702524,0.31366511885262466,0.175037770649212,PA,0.6052242299880056,0.4301864593387936
usdzar,5,66,4,223,66,0.6960902167702524,0.31366511885262466,0.41716649507766623,ARHinc,0.7071229364016459,0.2899564413239797
usdzar,10,66,3,223,66,0.6960902167702524,0.31366511885262466,0.555071028026005,ARHinc,0.7759234839211058,0.22085245589510072
