pair_id,Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
usdars,USDARS,5,PM,110,7,179,0.4415,0.355,0.5622,0.3619
usdars,USDARS,5,VAR1,110,7,179,255.3009,199.7703,368.1572,154.3451
usdars,USDARS,10,ARHinc,110,5,179,1.4341,1.134,1.1645,1.5902
usdars,USDARS,10,KernelARH,110,5,179,1.4554,1.16,1.1697,1.6226
usdars,USDARS,10,PA,110,5,179,1.4207,1.1313,1.1517,1.5926
usdars,USDARS,10,PM,110,5,179,0.6258,0.4993,0.6828,0.5304
usdars,USDARS,10,VAR1,110,5,179,25.4308,20.2108,23.5757,21.2344
usdmxn,USDMXN,1,ARHinc,88,7,201,0.6084,0.4925,0.5903,0.638
usdmxn,USDMXN,1,KernelARH,88,7,201,0.6138,0.4967,0.5998,0.6453
usdmxn,USDMXN,1,PA,88,7,201,0.6072,0.4897,0.5799,0.6369
usdmxn,USDMXN,1,PM,88,7,201,0.147,0.0926,0.2353,0.0791
usdmxn,USDMXN,1,VAR1,88,7,201,21.8129,15.8426,27.6913,15.1946
usdmxn,USDMXN,5,ARHinc,88,6,201,0.6709,0.545,0.7295,0.6602
usdmxn,USDMXN,5,KernelARH,88,6,201,0.6842,0.552,0.7584,0.6751
usdmxn,USDMXN,5,PA,88,6,201,0.6646,0.5375,0.7283,0.6578
usdmxn,USDMXN,5,PM,88,6,201,0.3419,0.2099,0.5509,0.1789
usdmxn,USDMXN,5,VAR1,88,6,201,27.285,19.8545,35.8364,19.5548
usdmxn,USDMXN,10,ARHinc,88,6,201,0.7002,0.5637,0.7801,0.6799
usdmxn,USDMXN,10,KernelARH,88,6,201,0.7676,0.6093,0.9202,0.7082
usdmxn,USDMXN,10,PA,88,6,201,0.6899,0.5561,0.7558,0.67490000000000006
usdmxn,USDMXN,10,PM,88,6,201,0.4251,0.2593,0.6094,0.2324
usdmxn,USDMXN,10,VAR1,88,6,201,23.8348,17.6946,35.5166,15.4666
eurusd,EURUSD,1,ARHinc,110,8,179,0.4304,0.3504,0.4229,0.4442
