"Par","h","fecha","Modelo","TRAIN_SIZE","K0","RMSE","MAE","WRMSE_short","WRMSE_long"
"USDPEN","1","2025-04-07","PM","44","4","0.06640964075053692","0.050884615384615334","0.08671594952963996","0.04955393458390469"
"USDPEN","1","2025-04-07","PA","44","4","0.8679792926214522","0.6508289007906504","0.6226350906534025","1.0830352684864692"
"USDPEN","1","2025-04-07","VAR1","44","4","2.9825538554436584","2.758704433789144","3.197410732192247","2.673760084614442"
"USDPEN","1","2025-04-07","ARHinc","44","4","0.8747957364609249","0.6580192693280489","0.6382475532945692","1.086919823822465"
"USDPEN","1","2025-04-07","KernelARH","44","4","0.8697653184697309","0.6470605770527934","0.6240418094651722","1.0849387803382236"
"USDPEN","5","2025-04-11","PM","44","4","0.17576768430560233","0.13676923076923078","0.19418374241513","0.13741553888243135"
"USDPEN","5","2025-04-11","PA","44","4","0.9077363767625953","0.6890272790625779","0.6858253942460902","1.1098543536207002"
"USDPEN","5","2025-04-11","VAR1","44","4","10.36514945596251","8.488950604897868","12.192532170200566","9.454159669393702"
"USDPEN","5","2025-04-11","ARHinc","44","4","0.9120123660387791","0.698727078377111","0.6976199218600608","1.1138312051304922"
"USDPEN","5","2025-04-11","KernelARH","44","4","0.8936701237135465","0.6704725559557795","0.6623078081158397","1.1070584629445455"
"USDPEN","10","2025-04-18","PM","44","4","0.2616032301023824","0.1696923076923078","0.22563184802105474","0.2607350017593603"
"USDPEN","10","2025-04-18","PA","44","4","0.978306664204686","0.7614414945727543","0.7631152103235961","1.1676173110808603"
"USDPEN","10","2025-04-18","VAR1","44","4","9.6109016441432","7.855524502190452","11.202050877874107","8.754615569056446"
"USDPEN","10","2025-04-18","ARHinc","44","4","0.9687752538968232","0.7552608735820472","0.7705172768365257","1.1570921918739185"
"USDPEN","10","2025-04-18","KernelARH","44","4","0.998251888610207","0.7686062665089721","0.7732821895937289","1.1858078825859042"
"USDPEN","1","2025-04-08","PM","44","4","0.13010812810889255","0.1031923076923077","0.1565488578909952","0.08872048609544378"
"USDPEN","1","2025-04-08","PA","44","4","0.862741509155464","0.6447443915516913","0.62376472556496","1.0739082257040744"
"USDPEN","1","2025-04-08","VAR1","44","4","7.53446696046254","6.123648965720977","8.72013513763197","6.2238978789308845"
"USDPEN","1","2025-04-08","ARHinc","44","4","0.8623542190515957","0.6436064284654833","0.6251304976335345","1.0733409667357938"
"USDPEN","1","2025-04-08","KernelARH","44","4","0.8641449463165902","0.6446356328173328","0.6280959682215327","1.0757822119077458"
"USDPEN","5","2025-04-14","PM","44","4","0.2984135134339598","0.1986923076923077","0.32004220675061695","0.2674012562911673"
"USDPEN","5","2025-04-14","PA","44","4","0.9871937441359929","0.7653738398654738","0.7787078178510821","1.1731849002950108"
"USDPEN","5","2025-04-14","VAR1","44","4","4.513921192418473","4.040212339842198","4.929632615623628","3.7692644129263857"
