h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,5,0.9998,0.9995,0.088,0.411,1.412
5,4,0.9996,0.9989,0.0518,0.1647,0.2959
10,3,0.9989,0.9973,0.0252,0.0675,0.1721
