h,K0,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
1,5,0.328,0.4563,0.6946,0,0.9957,1.4322
5,4,0.2767,0.4604,0.6997,0,0.9903,1.3211
10,3,0.2727,0.4652,0.7303,0,0.9947,1.3038
