Par,basis_id,K_DELTA,K_TENOR,TRAIN_SIZE,h,fecha,Modelo,K0,RMSE,MAE,WRMSE_short,WRMSE_long
USDPEN,base_4x8,4,8,44,1,2025-04-07,PM,4,0.06640964075053692,0.05088461538461535,0.08671594952963994,0.04955393458390469
USDPEN,base_4x8,4,8,44,1,2025-04-07,PA,4,0.867979292621369,0.6508289007903365,0.6226350906533707,1.0830352684863283
USDPEN,base_4x8,4,8,44,1,2025-04-07,VAR1,4,2.982553855444301,2.7587044337898945,3.1974107321930827,2.673760084613864
USDPEN,base_4x8,4,8,44,1,2025-04-07,ARHinc,4,0.8747957364608638,0.6580192693277387,0.6382475532945427,1.08691982382236
USDPEN,base_4x8,4,8,44,1,2025-04-07,KernelARH,4,0.8697653184696098,0.6470605770524775,0.6240418094651257,1.0849387803380306
USDPEN,base_4x8,4,8,44,5,2025-04-11,PM,4,0.17576768430560233,0.1367692307692308,0.19418374241512995,0.13741553888243135
USDPEN,base_4x8,4,8,44,5,2025-04-11,PA,4,0.9077363767624851,0.6890272790622646,0.6858253942460558,1.1098543536204968
USDPEN,base_4x8,4,8,44,5,2025-04-11,VAR1,4,10.365149455968398,8.48895060490286,12.192532170206208,9.45415966939942
USDPEN,base_4x8,4,8,44,5,2025-04-11,ARHinc,4,0.9120123660387025,0.6987270783768149,0.6976199218600334,1.1138312051303414
USDPEN,base_4x8,4,8,44,5,2025-04-11,KernelARH,4,0.8936701237133865,0.6704725559554757,0.6623078081157916,1.107058462944262
USDPEN,base_4x8,4,8,44,10,2025-04-18,PM,4,0.2616032301023824,0.1696923076923078,0.22563184802105474,0.2607350017593603
USDPEN,base_4x8,4,8,44,10,2025-04-18,PA,4,0.9783066642045436,0.7614414945724203,0.7631152103235366,1.1676173110806278
USDPEN,base_4x8,4,8,44,10,2025-04-18,VAR1,4,9.610901644141077,7.855524502188601,11.202050877870429,8.754615569054925
USDPEN,base_4x8,4,8,44,10,2025-04-18,ARHinc,4,0.9687752538967046,0.755260873581715,0.7705172768364669,1.1570921918737302
USDPEN,base_4x8,4,8,44,10,2025-04-18,KernelARH,4,0.9982518886100107,0.7686062665086845,0.7732821895936529,1.1858078825855904
USDPEN,base_4x8,4,8,44,1,2025-04-08,PM,4,0.13010812810889255,0.10319230769230776,0.1565488578909952,0.08872048609544379
USDPEN,base_4x8,4,8,44,1,2025-04-08,PA,4,0.8627415091554181,0.6447443915513733,0.6237647255649448,1.073908225703994
USDPEN,base_4x8,4,8,44,1,2025-04-08,VAR1,4,7.5344669604639,6.123648965722337,8.720135137633727,6.223897878931922
USDPEN,base_4x8,4,8,44,1,2025-04-08,ARHinc,4,0.8623542190515538,0.6436064284651661,0.6251304976335197,1.073340966735719
USDPEN,base_4x8,4,8,44,1,2025-04-08,KernelARH,4,0.8641449463165745,0.6446356328169948,0.6280959682215391,1.0757822119077218
USDPEN,base_4x8,4,8,44,5,2025-04-14,PM,4,0.2984135134339598,0.1986923076923077,0.3200422067506169,0.2674012562911673
USDPEN,base_4x8,4,8,44,5,2025-04-14,PA,4,0.9871937441358476,0.7653738398651321,0.7787078178510168,1.1731849002947858
USDPEN,base_4x8,4,8,44,5,2025-04-14,VAR1,4,4.513921192419897,4.040212339843451,4.929632615625458,3.7692644129272703
USDPEN,base_4x8,4,8,44,5,2025-04-14,ARHinc,4,0.9889863829812798,0.7669807752321957,0.7801646972842762,1.1747684399934022
USDPEN,base_4x8,4,8,44,5,2025-04-14,KernelARH,4,0.992643229255155,0.7700184584740226,0.7764670595767338,1.1788601372720968
USDPEN,base_4x8,4,8,44,10,2025-04-21,PM,4,0.3072004482168205,0.19700000000000017,0.37627014634768924,0.261288642438053
USDPEN,base_4x8,4,8,44,10,2025-04-21,PA,4,0.9798090170312221,0.7564556173300409,0.7804181061134822,1.166014670282233
USDPEN,base_4x8,4,8,44,10,2025-04-21,VAR1,4,4.28775468779348,3.2580242301766846,4.895235832094565,3.6137529879726134
USDPEN,base_4x8,4,8,44,10,2025-04-21,ARHinc,4,0.9829917080928109,0.7606922348377593,0.7867842660708749,1.1678595429683585
USDPEN,base_4x8,4,8,44,10,2025-04-21,KernelARH,4,0.9798125596630651,0.7556069053612374,0.7723963953673694,1.1678389827453304
USDPEN,base_4x8,4,8,44,1,2025-04-09,PM,4,0.15409069507174125,0.12350000000000012,0.2196134153708175,0.09928940983971833
USDPEN,base_4x8,4,8,44,1,2025-04-09,PA,4,0.8792759698302274,0.6579916216598312,0.6671040426797213,1.0809270470491397
USDPEN,base_4x8,4,8,44,1,2025-04-09,VAR1,4,8.556252456901081,7.1378001029259615,9.890164944712906,6.974477211144617
USDPEN,base_4x8,4,8,44,1,2025-04-09,ARHinc,4,0.8827360765606879,0.665556542863614,0.6783034215558597,1.0812290025875635
USDPEN,base_4x8,4,8,44,1,2025-04-09,KernelARH,4,0.8704566206271186,0.6517065722126465,0.646333000696059,1.078272379256072
USDPEN,base_4x8,4,8,44,5,2025-04-15,PM,4,0.3649463870003584,0.23976923076923076,0.36960838235553245,0.32764361878967463
USDPEN,base_4x8,4,8,44,5,2025-04-15,PA,4,1.0155463937937546,0.7914336455285687,0.8169107277068803,1.191437750343834
USDPEN,base_4x8,4,8,44,5,2025-04-15,VAR1,4,6.744310607302609,5.971196421109701,7.34698163173984,5.636297713590563
USDPEN,base_4x8,4,8,44,5,2025-04-15,ARHinc,4,1.0215758811647753,0.7938976908273853,0.8294410627908777,1.1945925973039035
USDPEN,base_4x8,4,8,44,5,2025-04-15,KernelARH,4,1.1108090630742484,0.8809546934989522,0.9671321167693029,1.2406060543370583
