h,Modelo,K0,N,RMSE_med,Par,basis_id,K_DELTA,K_TENOR
10,KernelARH,3,245,1.0570766987037352,USDPEN,base_4x8,4,8
10,VAR1,4,245,8.93057563974383,USDPEN,base_4x8,4,8
10,ARHinc,4,245,1.0429530491807828,USDPEN,base_4x8,4,8
10,KernelARH,4,245,1.0566385173901205,USDPEN,base_4x8,4,8
10,VAR1,5,245,17.51092116953933,USDPEN,base_4x8,4,8
10,ARHinc,5,245,1.0428038259535255,USDPEN,base_4x8,4,8
10,KernelARH,5,245,1.0644174832136004,USDPEN,base_4x8,4,8
10,VAR1,6,245,24.694584647643318,USDPEN,base_4x8,4,8
10,ARHinc,6,245,1.0292089627767853,USDPEN,base_4x8,4,8
10,KernelARH,6,245,1.0804648667646528,USDPEN,base_4x8,4,8
10,VAR1,7,245,32.68698949723627,USDPEN,base_4x8,4,8
10,ARHinc,7,245,1.0323661894621818,USDPEN,base_4x8,4,8
10,KernelARH,7,245,1.0869589605854808,USDPEN,base_4x8,4,8
10,VAR1,8,245,33.80394287886728,USDPEN,base_4x8,4,8
10,ARHinc,8,245,1.0353818452472174,USDPEN,base_4x8,4,8
10,KernelARH,8,245,1.0761114144653288,USDPEN,base_4x8,4,8
10,VAR1,9,245,42.741989288419774,USDPEN,base_4x8,4,8
10,ARHinc,9,245,1.0360553669300423,USDPEN,base_4x8,4,8
10,KernelARH,9,0,NA,USDPEN,base_4x8,4,8
10,VAR1,10,245,43.24493814142966,USDPEN,base_4x8,4,8
10,ARHinc,10,245,1.042250881946334,USDPEN,base_4x8,4,8
10,KernelARH,10,0,NA,USDPEN,base_4x8,4,8
10,VAR1,11,245,42.52795270504597,USDPEN,base_4x8,4,8
10,ARHinc,11,245,1.0506891850346738,USDPEN,base_4x8,4,8
10,KernelARH,11,0,NA,USDPEN,base_4x8,4,8
10,VAR1,12,245,46.35657091729099,USDPEN,base_4x8,4,8
10,ARHinc,12,245,1.049856799490421,USDPEN,base_4x8,4,8
10,KernelARH,12,0,NA,USDPEN,base_4x8,4,8
10,VAR1,13,245,48.00064848685524,USDPEN,base_4x8,4,8
10,ARHinc,13,245,1.0537636742374208,USDPEN,base_4x8,4,8
10,KernelARH,13,0,NA,USDPEN,base_4x8,4,8
10,VAR1,14,245,47.28382223150781,USDPEN,base_4x8,4,8
10,ARHinc,14,245,1.0558934773841422,USDPEN,base_4x8,4,8
10,KernelARH,14,0,NA,USDPEN,base_4x8,4,8
10,VAR1,15,245,47.462441246285344,USDPEN,base_4x8,4,8
10,ARHinc,15,245,1.0579026509127807,USDPEN,base_4x8,4,8
10,KernelARH,15,0,NA,USDPEN,base_4x8,4,8
1,VAR1,2,245,0.9772622816614618,USDPEN,coarse_4x6,4,6
1,ARHinc,2,245,0.9686570261105615,USDPEN,coarse_4x6,4,6
1,KernelARH,2,245,0.9769108018587517,USDPEN,coarse_4x6,4,6
1,VAR1,3,245,0.9747504685592341,USDPEN,coarse_4x6,4,6
1,ARHinc,3,245,0.9651962882990726,USDPEN,coarse_4x6,4,6
1,KernelARH,3,245,0.9720312289771854,USDPEN,coarse_4x6,4,6
1,VAR1,4,245,0.9900756647344523,USDPEN,coarse_4x6,4,6
1,ARHinc,4,245,0.9668368516624292,USDPEN,coarse_4x6,4,6
1,KernelARH,4,245,0.9791500547733409,USDPEN,coarse_4x6,4,6
1,VAR1,5,245,1.005357995224873,USDPEN,coarse_4x6,4,6
1,ARHinc,5,245,0.9675772345836687,USDPEN,coarse_4x6,4,6
1,KernelARH,5,245,0.9790703748910383,USDPEN,coarse_4x6,4,6
1,VAR1,6,245,1.0245311203214598,USDPEN,coarse_4x6,4,6
1,ARHinc,6,245,0.9669270157474709,USDPEN,coarse_4x6,4,6
1,KernelARH,6,245,0.9815433596689757,USDPEN,coarse_4x6,4,6
1,VAR1,7,245,1.0270414893960893,USDPEN,coarse_4x6,4,6
1,ARHinc,7,245,0.9659171583914993,USDPEN,coarse_4x6,4,6
1,KernelARH,7,245,0.9854797737105115,USDPEN,coarse_4x6,4,6
1,VAR1,8,245,1.0413003227075108,USDPEN,coarse_4x6,4,6
1,ARHinc,8,245,0.9685737397374111,USDPEN,coarse_4x6,4,6
