Par,basis_id,K_DELTA,K_TENOR,TRAIN_SIZE,h,Modelo,K0,N,Loss,Valor
EURUSD,base_4x8,4,8,110,5,PM,8,179,WRMSE_long_med,0.2259
EURUSD,base_4x8,4,8,110,5,PM,8,179,WRMSE_short_med,0.5603
EURUSD,base_4x8,4,8,110,10,PM,6,179,MAE_med,0.34
EURUSD,base_4x8,4,8,110,10,PM,6,179,RMSE_med,0.4908
EURUSD,base_4x8,4,8,110,10,PM,6,179,WRMSE_long_med,0.3028
EURUSD,base_4x8,4,8,110,10,PM,6,179,WRMSE_short_med,0.671
USDZAR,base_4x8,4,8,66,1,PM,5,223,MAE_med,0.1177
USDZAR,base_4x8,4,8,66,1,PM,5,223,RMSE_med,0.175
USDZAR,base_4x8,4,8,66,1,PM,5,223,WRMSE_long_med,0.1016
USDZAR,base_4x8,4,8,66,1,PM,5,223,WRMSE_short_med,0.2738
USDZAR,base_4x8,4,8,66,5,PM,4,223,MAE_med,0.2977
USDZAR,base_4x8,4,8,66,5,PM,4,223,RMSE_med,0.4172
USDZAR,base_4x8,4,8,66,5,PM,4,223,WRMSE_long_med,0.2494
USDZAR,base_4x8,4,8,66,5,PM,4,223,WRMSE_short_med,0.6215
USDZAR,base_4x8,4,8,66,10,PM,3,223,MAE_med,0.4163
USDZAR,base_4x8,4,8,66,10,PM,3,223,RMSE_med,0.5551
USDZAR,base_4x8,4,8,66,10,PM,3,223,WRMSE_long_med,0.3581
USDZAR,base_4x8,4,8,66,10,PM,3,223,WRMSE_short_med,0.8012
