h,K0,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
1,7,0.3839,0.5617,0.5749,0,0.9856,1.489
5,6,0.3632,0.5602,0.5778,0,0.9857,1.3316
10,6,0.3632,0.5602,0.5778,0,0.9857,1.3377
