h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,7,0.9999,0.9999,0.0764,0.3662,0.737
5,6,0.9998,0.9997,0.0641,0.2252,1.4139
10,6,0.9998,0.9997,0.0641,0.2252,1.4139
