h,Modelo,TRAIN_SIZE,N,TA,IC_low,IC_high
1,PA,88,201,0,0,0
1,VAR1,88,201,0,0,0
1,ARHinc,88,201,0,0,0
1,KernelARH,88,201,0,0,0
5,PA,88,201,0,0,0
5,VAR1,88,201,0,0,0
5,ARHinc,88,201,0,0,0
5,KernelARH,88,201,0.055,0.023,0.086
10,PA,88,201,0,0,0
10,VAR1,88,201,0,0,0
10,ARHinc,88,201,0,0,0
10,KernelARH,88,201,0.065,0.031,0.099
