window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
22,1m,278,2025-03-05,2026-03-27,0.9754,0.924,0.9963,0.0216,0.0027,0.0643,0.9982,1,3,2,3,0.842,0.993,0.6654,1.2488,1.4232,0.082,0.396
44,2m,256,2025-04-04,2026-03-27,0.9675,0.9329,0.9953,0.0279,0.0029,0.0534,0.9966,1,2,2,3,0.855,1,0.6699,1.0001,1.3899,0.0428,0.1844
66,3m,234,2025-05-06,2026-03-27,0.962,0.9398,0.9931,0.0316,0.0036,0.0468,0.9955,1,2,2,3,0.863,1,0.6119,0.9487,1.0102,0.0285,0.1059
88,4m,212,2025-06-05,2026-03-27,0.9554,0.9437,0.9868,0.0345,0.0092,0.0481,0.9945,1,2,2,3,0.67,1,0.5653,1.0012,1.1393,0.0235,0.0847
110,5m,190,2025-07-07,2026-03-27,0.9544,0.939,0.9826,0.0339,0.013,0.0462,0.9935,1,2,2,3,0.553,1,0.5095,0.8318,0.9454,0.0207,0.0704
132,6m,168,2025-08-06,2026-03-27,0.9598,0.9304,0.9762,0.0319,0.0186,0.0461,0.9922,1,2,2,3,0.53,1,0.4575,0.7007,0.8168,0.0152,0.0536
