h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
1,7,0.9999,0.9998,0.0511,0.1883,0.6769
5,8,0.9999,0.9999,0.0567,0.1853,0.7949
10,8,0.9999,0.9999,0.0567,0.1853,0.7949
