window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
22,1m,278,2025-03-05,2026-03-27,0.9758,0.9026,0.9961,0.0201,0.0028,0.0921,0.9971,1,2,2,3,0.698,1,0.6685,1.4116,1.4227,0.1048,0.5647
44,2m,256,2025-04-04,2026-03-27,0.9635,0.849,0.9887,0.0278,0.0087,0.1408,0.9958,1,2,2,4,0.641,1,0.5488,1.3943,1.4212,0.0486,0.1951
66,3m,234,2025-05-06,2026-03-27,0.9473,0.8574,0.9861,0.0455,0.0091,0.1188,0.9934,2,2,2,3,0.453,1,0.4529,0.675,0.9942,0.0219,0.1105
88,4m,212,2025-06-05,2026-03-27,0.9308,0.8106,0.9789,0.0588,0.0133,0.16,0.992,2,2,2,3,0.217,1,0.3699,0.6913,0.7102,0.018,0.0972
110,5m,190,2025-07-07,2026-03-27,0.9189,0.7929,0.9653,0.0654,0.0264,0.1743,0.99,2,2,2,3,0.179,1,0.3748,0.6847,0.7091,0.0122,0.0517
132,6m,168,2025-08-06,2026-03-27,0.9151,0.8583,0.9472,0.0711,0.0436,0.1275,0.9879,2,2,3,3,0,1,0.35,0.6926,0.7075,0.0098,0.0391
