h,Modelo,TRAIN_SIZE,N,TA,IC_low,IC_high
1,PA,154,135,0,0,0
1,VAR1,154,135,0,0,0
1,ARHinc,154,135,0,0,0
1,KernelARH,154,135,0,0,0
5,PA,154,135,0.015,0,0.035
5,VAR1,154,135,0,0,0
5,ARHinc,154,135,0.037,0.005,0.069
5,KernelARH,154,135,0.03,0.001,0.058
10,PA,154,135,0.007,0,0.022
10,VAR1,154,135,0,0,0
10,ARHinc,154,135,0.052,0.014,0.089
10,KernelARH,154,135,0.119,0.064,0.173
